source,target,link_id,length,cost
38,69,1,1304,42.1
38,70,2,174,5.62
36,70,3,259,14.51
5,36,4,45,2.43
25,5,5,77,3.31
25,35,6,356,15.28
35,54,7,91,3.91
37,54,8,150,6.44
37,65,9,281,12.06
31,65,10,15,0.64
39,54,11,336,14.43
39,68,12,22,0.94
43,68,13,243,12.86
58,43,14,76,4.02
55,58,15,124,6.56
45,55,17,202,8.6
66,45,18,103,4.38
12,66,19,623,26.52
76,12,20,776,33.03
20,76,21,532,23.15
39,37,22,257,11.53
42,31,24,75,5.27
42,59,25,154,11.32
33,59,26,402,28.25
33,83,27,62,4.86
66,83,28,195,8.3
40,69,29,791,30.54
4,40,30,336,12.75
4,17,31,283,10.74
7,17,32,484,18.36
53,7,33,865,32.81
16,53,34,400,15.17
1,16,35,404,15.83
1,71,36,178,6.75
86,71,37,209,7.93
86,30,38,244,12.92
14,30,39,191,10.61
9,14,40,256,13.55
9,85,41,28,1.48
85,28,42,70,2.98
28,57,43,141,6
26,57,44,176,7.99
45,26,45,704,30.47
10,62,46,525,29.45
62,84,47,178,8.53
84,82,48,80,3.88
82,34,49,1188,50.73
34,32,50,2863,77.96
18,27,51,647,28.54
27,74,52,942,35.73
74,29,53,101,3.83
29,56,54,489,18.55
56,48,55,764,29.48
48,87,56,170,6.45
87,2,57,105,3.98
2,53,58,495,19.28
18,75,59,208,5.81
75,88,60,503,13.61
88,15,61,83,2.75
15,32,62,287,7.76
69,21,63,626,20.21
3,21,64,301,11.42
3,11,65,372,14.11
11,46,66,128,4.86
46,77,67,215,8.16
77,78,68,418,15.86
53,78,69,532,20.18
16,53,70,623,24.13
1,16,71,398,15.1
1,10,72,483,26.63
31,65,74,15,0.83
52,72,75,110,4.65
72,61,76,90,3.81
61,34,77,1655,69.98
43,8,78,383,20.77
8,67,79,539,28.53
67,10,80,270,14.89
7,60,81,138,5.37
60,54,82,300,13.38
45,63,88,1040,44.77
63,52,89,865,37.07
62,82,92,240,11.5
21,4,93,700,26.55
60,6,94,67,2.88
6,50,95,117,5.02
62,51,97,300,13.23
51,47,98,1530,41.89
47,41,99,648,31.14
41,32,100,1714,46.87
18,73,101,882,24.36
34,73,102,1550,41.93
37,22,103,359,16.2
36,49,104,22,1.19
50,25,105,113,6.11
33,79,106,460,32.32
79,80,107,257,18.06
80,81,108,722,39.81
42,89,109,426,29.94
89,94,110,222,27.84
94,92,111,43,2.38
92,90,112,1721,94.89
90,81,113,650,35.84
20,91,114,1560,47.64
20,93,115,3000,91.62
81,93,116,3000,91.62